x,val
0.0,1.0
0.016,1.0327680000000001
0.032,1.067072
0.048,1.1029120000000001
0.064,1.1402880000000002
0.08,1.1792
0.096,1.2196479999999998
0.112,1.261632
0.128,1.305152
0.14400000000000002,1.350208
0.16,1.3968
0.176,1.4449279999999998
0.192,1.494592
0.20800000000000002,1.545792
0.224,1.598528
0.24,1.6528
0.256,1.708608
0.272,1.765952
0.28800000000000003,1.8248320000000002
0.304,1.885248
0.32,1.9472
0.336,2.010688
0.352,2.075712
0.368,2.142272
0.384,2.210368
0.4,2.2800000000000002
0.41600000000000004,2.3511680000000004
0.432,2.423872
0.448,2.498112
0.464,2.573888
0.48,2.6512000000000002
0.496,2.730048
0.512,2.810432
0.528,2.8923520000000003
0.544,2.9758080000000002
0.56,3.0608000000000004
0.5760000000000001,3.1473280000000003
0.592,3.235392
0.608,3.324992
0.624,3.4161280000000005
0.64,3.5088000000000004
0.656,3.6030080000000004
0.672,3.6987520000000007
0.6880000000000001,3.7960320000000007
0.704,3.8948479999999996
0.72,3.9951999999999996
0.736,4.097087999999999
0.752,4.200512
0.768,4.305472
0.784,4.411968
0.8,4.5200000000000005
0.8160000000000001,4.629568000000001
0.8320000000000001,4.740672
0.848,4.853312
0.864,4.9674879999999995
0.88,5.0832
0.896,5.200448
0.912,5.3192319999999995
0.928,5.439552
0.9440000000000001,5.561408
0.96,5.6848
0.976,5.809728
0.992,5.936192
