x,val
0.0,1.0
0.016,1.0327843840000002
0.032,1.067203072
0.048,1.1033543680000002
0.064,1.1413365760000003
0.08,1.181248
0.096,1.2231869439999998
0.112,1.2672517120000002
0.128,1.313540608
0.14400000000000002,1.362151936
0.16,1.413184
0.176,1.4667351039999998
0.192,1.5229035519999998
0.20800000000000002,1.5817876480000002
0.224,1.643485696
0.24,1.708096
0.256,1.7757168639999998
0.272,1.846446592
0.28800000000000003,1.9203834880000004
0.304,1.997625856
0.32,2.078272
0.336,2.162420224
0.352,2.250168832
0.368,2.341616128
0.384,2.436860416
0.4,2.5360000000000005
0.41600000000000004,2.6391331840000003
0.432,2.7463582719999997
0.448,2.857773568
0.464,2.9734773760000004
0.48,3.0935680000000003
0.496,3.218143744
0.512,3.347302912
0.528,3.4811438080000006
0.544,3.6197647360000005
0.56,3.7632640000000004
0.5760000000000001,3.9117399040000005
0.592,4.065290752
0.608,4.2240148479999995
0.624,4.388010496000001
0.64,4.5573760000000005
0.656,4.732209664000001
0.672,4.912609792000001
0.6880000000000001,5.098674688000001
0.704,5.290502655999999
0.72,5.488192
0.736,5.6918410239999995
0.752,5.901548032
0.768,6.117411328
0.784,6.339529216
0.8,6.568000000000001
0.8160000000000001,6.802921984000001
0.8320000000000001,7.044393472000001
0.848,7.292512768
0.864,7.547378175999999
0.88,7.809087999999999
0.896,8.077740544000001
0.912,8.353434112
0.928,8.636267008
0.9440000000000001,8.926337536
0.96,9.223744
0.976,9.528584704
0.992,9.840957952
