t,x
0.0,5.002
0.001,5.004003003999999
0.002,5.00600902
0.003,5.008018055999999
0.004,5.010030119999999
0.005,5.012045219999999
0.006,5.014063363999999
0.007,5.0160845599999995
0.008,5.018108816
0.009000000000000001,5.02013614
0.01,5.02216654
0.011,5.024200024
0.012,5.0262366
0.013000000000000001,5.028276276
0.014,5.03031906
0.015,5.03236496
0.016,5.0344139839999995
0.017,5.03646614
0.018000000000000002,5.038521436
0.019,5.04057988
0.02,5.04264148
0.021,5.044706244
0.022,5.046774180000001
0.023,5.0488452960000005
0.024,5.0509196
0.025,5.052997100000001
0.026000000000000002,5.055077804000001
0.027,5.057161720000001
0.028,5.059248856000001
0.029,5.061339220000001
0.03,5.063432820000001
0.031,5.065529664000001
0.032,5.067629760000002
0.033,5.069733116000002
0.034,5.0718397400000015
0.035,5.073949640000001
0.036000000000000004,5.076062824000001
0.037,5.078179300000001
0.038,5.080299076000001
0.039,5.082422160000001
0.04,5.084548560000001
0.041,5.086678284000001
0.042,5.088811340000001
0.043000000000000003,5.090947736000001
0.044,5.093087480000001
0.045,5.095230580000001
0.046,5.097377044000001
0.047,5.099526880000001
0.048,5.101680096000001
0.049,5.1038367000000004
0.05,5.1059967
0.051000000000000004,5.108160104
0.052000000000000005,5.11032692
0.053,5.112497156000001
0.054,5.114670820000001
0.055,5.1168479200000005
0.056,5.119028464
0.057,5.121212460000001
0.058,5.123399916
0.059000000000000004,5.12559084
0.06,5.12778524
0.061,5.129983124
0.062,5.1321845
0.063,5.134389376000001
0.064,5.136597760000001
0.065,5.138809660000001
0.066,5.141025084000001
0.067,5.143244040000001
0.068,5.145466536000001
0.069,5.147692580000001
0.07,5.149922180000001
0.07100000000000001,5.1521553440000005
0.07200000000000001,5.154392080000001
0.073,5.156632396000001
0.074,5.158876300000001
0.075,5.161123800000001
0.076,5.163374904000001
0.077,5.165629620000002
0.078,5.167887956000001
0.079,5.170149920000001
0.08,5.172415520000001
0.081,5.174684764000001
0.082,5.176957660000001
0.083,5.179234216000001
0.084,5.181514440000001
0.085,5.183798340000001
0.08600000000000001,5.186085924000001
0.08700000000000001,5.1883772000000015
0.088,5.190672176000001
0.089,5.192970860000002
0.09,5.195273260000001
0.091,5.197579384000002
0.092,5.199889240000002
0.093,5.202202836000001
0.094,5.204520180000001
0.095,5.206841280000001
0.096,5.209166144000001
0.097,5.211494780000001
0.098,5.213827196
0.099,5.2161634
0.1,5.2185034
0.101,5.220847204
0.10200000000000001,5.22319482
0.10300000000000001,5.2255462559999994
0.10400000000000001,5.22790152
0.105,5.230260619999999
0.106,5.232623563999999
0.107,5.2349903599999985
0.108,5.237361015999999
0.109,5.239735539999999
0.11,5.2421139399999985
0.111,5.244496223999999
0.112,5.246882399999999
0.113,5.249272475999999
0.114,5.251666459999999
0.115,5.254064359999999
0.116,5.256466183999999
0.117,5.258871939999999
0.11800000000000001,5.261281635999999
0.11900000000000001,5.2636952799999985
0.12,5.266112879999999
0.121,5.268534443999998
0.122,5.270959979999998
0.123,5.273389495999998
0.124,5.275822999999998
0.125,5.278260499999998
0.126,5.280702003999998
0.127,5.283147519999998
0.128,5.2855970559999985
0.129,5.288050619999998
0.13,5.290508219999998
0.131,5.292969863999998
0.132,5.295435559999998
0.133,5.297905315999998
0.134,5.300379139999998
0.135,5.3028570399999975
0.136,5.305339023999998
0.137,5.307825099999998
0.138,5.310315275999998
0.139,5.312809559999998
0.14,5.315307959999998
0.14100000000000001,5.317810483999998
0.14200000000000002,5.3203171399999984
0.14300000000000002,5.322827935999999
0.14400000000000002,5.325342879999998
0.145,5.327861979999998
0.146,5.330385243999998
0.147,5.332912679999998
0.148,5.335444295999998
0.149,5.337980099999998
0.15,5.340520099999997
0.151,5.343064303999998
0.152,5.345612719999997
0.153,5.348165355999997
0.154,5.350722219999997
0.155,5.353283319999997
0.156,5.355848663999997
0.157,5.358418259999997
0.158,5.360992115999997
0.159,5.363570239999997
0.16,5.366152639999997
0.161,5.368739323999996
0.162,5.371330299999996
0.163,5.373925575999996
0.164,5.376525159999996
0.165,5.379129059999997
0.166,5.381737283999997
0.167,5.384349839999997
0.168,5.386966735999997
0.169,5.389587979999997
0.17,5.392213579999997
0.171,5.394843543999997
0.17200000000000001,5.397477879999997
0.17300000000000001,5.400116595999997
0.17400000000000002,5.402759699999996
0.17500000000000002,5.405407199999996
0.176,5.408059103999997
0.177,5.410715419999997
0.178,5.413376155999997
0.179,5.416041319999997
0.18,5.418710919999997
0.181,5.421384963999997
0.182,5.424063459999997
0.183,5.426746415999997
0.184,5.429433839999997
0.185,5.432125739999997
0.186,5.434822123999997
0.187,5.437522999999997
0.188,5.440228375999997
0.189,5.4429382599999965
0.19,5.445652659999997
0.191,5.448371583999997
0.192,5.451095039999997
0.193,5.453823035999997
0.194,5.456555579999996
0.195,5.459292679999996
0.196,5.4620343439999965
0.197,5.464780579999997
0.198,5.4675313959999965
0.199,5.470286799999997
0.2,5.473046799999997
0.201,5.475811403999997
0.202,5.478580619999997
0.203,5.481354455999997
0.20400000000000001,5.484132919999998
0.20500000000000002,5.486916019999998
0.20600000000000002,5.489703763999998
0.20700000000000002,5.492496159999998
0.20800000000000002,5.4952932159999985
0.209,5.498094939999999
0.21,5.500901339999999
0.211,5.503712423999999
0.212,5.506528199999999
0.213,5.509348675999999
0.214,5.512173859999999
0.215,5.515003759999999
0.216,5.517838383999999
0.217,5.520677739999999
0.218,5.523521835999999
0.219,5.5263706799999985
0.22,5.529224279999998
0.221,5.532082643999998
0.222,5.534945779999998
0.223,5.537813695999998
0.224,5.540686399999998
0.225,5.543563899999998
0.226,5.546446203999998
0.227,5.549333319999998
0.228,5.552225255999998
0.229,5.555122019999998
0.23,5.558023619999998
0.231,5.560930063999998
0.232,5.563841359999998
0.233,5.566757515999998
0.234,5.569678539999998
0.23500000000000001,5.572604439999998
0.23600000000000002,5.5755352239999985
0.23700000000000002,5.578470899999998
0.23800000000000002,5.581411475999999
0.23900000000000002,5.584356959999998
0.24,5.587307359999998
0.241,5.590262683999998
0.242,5.593222939999998
0.243,5.596188135999998
0.244,5.5991582799999975
0.245,5.602133379999997
0.246,5.605113443999997
0.247,5.608098479999997
0.248,5.611088495999997
0.249,5.614083499999997
0.25,5.617083499999997
0.251,5.620088503999997
0.252,5.623098519999997
0.253,5.626113555999997
0.254,5.6291336199999975
0.255,5.632158719999998
0.256,5.635188863999998
0.257,5.638224059999998
0.258,5.641264315999998
0.259,5.644309639999999
0.26,5.647360039999999
0.261,5.650415523999999
0.262,5.653476099999999
0.263,5.656541775999999
0.264,5.659612559999999
0.265,5.662688459999999
0.266,5.665769483999999
0.267,5.668855639999999
0.268,5.671946935999999
0.269,5.675043379999999
0.27,5.678144979999999
0.271,5.681251743999999
0.272,5.684363679999999
0.273,5.687480795999999
0.274,5.690603099999999
0.275,5.6937305999999985
0.276,5.696863303999999
0.277,5.700001219999999
0.278,5.703144355999999
0.279,5.7062927199999995
0.28,5.70944632
0.281,5.712605163999999
0.28200000000000003,5.715769259999999
0.28300000000000003,5.718938615999999
0.28400000000000003,5.722113239999999
0.28500000000000003,5.725293139999999
0.28600000000000003,5.728478323999999
0.28700000000000003,5.7316688
0.28800000000000003,5.734864576
0.289,5.738065659999999
0.29,5.741272059999999
0.291,5.744483783999999
0.292,5.747700839999999
0.293,5.750923235999999
0.294,5.7541509799999995
0.295,5.75738408
0.296,5.760622543999999
0.297,5.76386638
0.298,5.767115596
0.299,5.7703702
0.3,5.7736302
0.301,5.776895604000001
0.302,5.7801664200000005
0.303,5.783442656
0.304,5.78672432
0.305,5.79001142
0.306,5.793303964
0.307,5.796601959999999
0.308,5.799905416
0.309,5.803214339999999
0.31,5.806528739999999
0.311,5.809848623999999
0.312,5.813173999999999
0.313,5.816504875999999
0.314,5.819841259999999
0.315,5.823183159999998
0.316,5.826530583999999
0.317,5.829883539999998
0.318,5.833242035999998
0.319,5.8366060799999975
0.32,5.839975679999998
0.321,5.843350843999998
0.322,5.846731579999998
0.323,5.850117895999999
0.324,5.8535097999999985
0.325,5.856907299999999
0.326,5.860310403999999
0.327,5.863719119999999
0.328,5.867133455999999
0.329,5.8705534199999985
0.33,5.873979019999998
0.331,5.877410263999998
0.332,5.880847159999998
0.333,5.884289715999999
0.334,5.887737939999999
0.335,5.891191839999999
0.336,5.894651423999999
0.337,5.898116699999999
0.338,5.901587675999999
0.339,5.905064359999999
0.34,5.908546759999999
0.341,5.912034884
0.342,5.91552874
0.343,5.919028336
0.34400000000000003,5.92253368
0.34500000000000003,5.92604478
0.34600000000000003,5.929561644
