t,x,y
0.0,1.16,1.0
0.16,1.3199999999999998,1.0
0.32,1.4799999999999998,1.0
0.48,1.6399999999999997,1.0
0.64,1.7999999999999996,1.0
0.8,1.9599999999999995,1.0
0.96,2.1199999999999997,1.0
