x,val
0.0,1.0
0.016,1.096
0.032,1.192
0.048,1.288
0.064,1.384
0.08,1.48
0.096,1.576
0.112,1.6720000000000002
0.128,1.768
0.14400000000000002,1.864
0.16,1.96
0.176,2.056
0.192,2.152
0.20800000000000002,2.248
0.224,2.3440000000000003
0.24,2.44
0.256,2.536
0.272,2.632
0.28800000000000003,2.728
0.304,2.824
0.32,2.92
0.336,3.016
0.352,3.112
0.368,3.208
0.384,3.3040000000000003
0.4,3.4000000000000004
0.41600000000000004,3.4960000000000004
0.432,3.592
0.448,3.688
0.464,3.7840000000000003
0.48,3.88
0.496,3.976
0.512,4.072
0.528,4.168
0.544,4.264
0.56,4.36
0.5760000000000001,4.456
0.592,4.552
0.608,4.648
0.624,4.744
0.64,4.84
0.656,4.936
0.672,5.032
0.6880000000000001,5.128
0.704,5.224
0.72,5.32
0.736,5.416
0.752,5.5120000000000005
0.768,5.6080000000000005
0.784,5.704000000000001
0.8,5.800000000000001
0.8160000000000001,5.896000000000001
0.8320000000000001,5.992000000000001
0.848,6.088
0.864,6.184
0.88,6.28
0.896,6.376
0.912,6.472
0.928,6.5680000000000005
0.9440000000000001,6.664000000000001
0.96,6.76
0.976,6.856
0.992,6.952
